,timestamp,model,example_length,target,prediction,correct
0,144450,PTDeepCBOW,4,2,1,0
1,144450,PTDeepCBOW,21,3,3,1
2,144450,PTDeepCBOW,23,4,3,0
3,144450,PTDeepCBOW,26,2,3,0
4,144450,PTDeepCBOW,9,4,4,1
5,144450,PTDeepCBOW,20,3,1,0
6,144450,PTDeepCBOW,22,3,1,0
7,144450,PTDeepCBOW,7,3,1,0
8,144450,PTDeepCBOW,14,3,3,1
9,144450,PTDeepCBOW,15,4,3,0
10,144450,PTDeepCBOW,13,3,4,0
11,144450,PTDeepCBOW,24,3,3,1
12,144450,PTDeepCBOW,10,4,4,1
13,144450,PTDeepCBOW,12,2,1,0
14,144450,PTDeepCBOW,24,3,4,0
15,144450,PTDeepCBOW,6,2,2,1
16,144450,PTDeepCBOW,8,4,4,1
17,144450,PTDeepCBOW,17,3,4,0
18,144450,PTDeepCBOW,11,4,3,0
19,144450,PTDeepCBOW,9,4,4,1
20,144450,PTDeepCBOW,37,4,4,1
21,144450,PTDeepCBOW,16,2,4,0
22,144450,PTDeepCBOW,23,3,3,1
23,144450,PTDeepCBOW,16,3,3,1
24,144450,PTDeepCBOW,9,3,1,0
25,144450,PTDeepCBOW,14,3,3,1
26,144450,PTDeepCBOW,19,3,3,1
27,144450,PTDeepCBOW,23,1,3,0
28,144450,PTDeepCBOW,22,3,1,0
29,144450,PTDeepCBOW,13,4,1,0
30,144450,PTDeepCBOW,20,4,4,1
31,144450,PTDeepCBOW,6,2,1,0
32,144450,PTDeepCBOW,29,3,1,0
33,144450,PTDeepCBOW,33,3,3,1
34,144450,PTDeepCBOW,17,1,3,0
35,144450,PTDeepCBOW,18,3,3,1
36,144450,PTDeepCBOW,13,3,3,1
37,144450,PTDeepCBOW,42,3,3,1
38,144450,PTDeepCBOW,22,1,1,1
39,144450,PTDeepCBOW,14,2,1,0
40,144450,PTDeepCBOW,20,4,3,0
41,144450,PTDeepCBOW,22,0,1,0
42,144450,PTDeepCBOW,14,4,3,0
43,144450,PTDeepCBOW,16,4,4,1
44,144450,PTDeepCBOW,18,3,3,1
45,144450,PTDeepCBOW,29,2,1,0
46,144450,PTDeepCBOW,13,4,4,1
47,144450,PTDeepCBOW,24,3,3,1
48,144450,PTDeepCBOW,8,4,4,1
49,144450,PTDeepCBOW,38,3,3,1
50,144450,PTDeepCBOW,9,3,3,1
51,144450,PTDeepCBOW,13,3,1,0
52,144450,PTDeepCBOW,20,3,3,1
53,144450,PTDeepCBOW,11,4,3,0
54,144450,PTDeepCBOW,22,3,3,1
55,144450,PTDeepCBOW,24,3,3,1
56,144450,PTDeepCBOW,21,3,3,1
57,144450,PTDeepCBOW,15,2,1,0
58,144450,PTDeepCBOW,12,3,4,0
59,144450,PTDeepCBOW,14,3,3,1
60,144450,PTDeepCBOW,23,2,3,0
61,144450,PTDeepCBOW,20,3,3,1
62,144450,PTDeepCBOW,12,3,4,0
63,144450,PTDeepCBOW,25,2,3,0
64,144450,PTDeepCBOW,23,1,3,0
65,144450,PTDeepCBOW,25,3,1,0
66,144450,PTDeepCBOW,7,4,4,1
67,144450,PTDeepCBOW,26,4,3,0
68,144450,PTDeepCBOW,19,4,4,1
69,144450,PTDeepCBOW,20,4,3,0
70,144450,PTDeepCBOW,24,2,3,0
71,144450,PTDeepCBOW,4,4,3,0
72,144450,PTDeepCBOW,8,4,4,1
73,144450,PTDeepCBOW,23,4,1,0
74,144450,PTDeepCBOW,11,3,3,1
75,144450,PTDeepCBOW,22,1,1,1
76,144450,PTDeepCBOW,24,4,4,1
77,144450,PTDeepCBOW,27,3,3,1
78,144450,PTDeepCBOW,24,3,3,1
79,144450,PTDeepCBOW,17,2,1,0
80,144450,PTDeepCBOW,19,3,3,1
81,144450,PTDeepCBOW,15,4,4,1
82,144450,PTDeepCBOW,19,3,3,1
83,144450,PTDeepCBOW,31,3,4,0
84,144450,PTDeepCBOW,23,4,4,1
85,144450,PTDeepCBOW,20,4,3,0
86,144450,PTDeepCBOW,40,4,4,1
87,144450,PTDeepCBOW,9,4,3,0
88,144450,PTDeepCBOW,37,3,4,0
89,144450,PTDeepCBOW,21,3,1,0
90,144450,PTDeepCBOW,34,1,3,0
91,144450,PTDeepCBOW,16,3,1,0
92,144450,PTDeepCBOW,22,0,1,0
93,144450,PTDeepCBOW,18,3,3,1
94,144450,PTDeepCBOW,22,3,1,0
95,144450,PTDeepCBOW,7,4,3,0
96,144450,PTDeepCBOW,24,2,1,0
97,144450,PTDeepCBOW,14,4,3,0
98,144450,PTDeepCBOW,13,3,2,0
99,144450,PTDeepCBOW,26,4,3,0
100,144450,PTDeepCBOW,35,3,1,0
101,144450,PTDeepCBOW,24,3,3,1
102,144450,PTDeepCBOW,18,4,1,0
103,144450,PTDeepCBOW,14,3,3,1
104,144450,PTDeepCBOW,27,3,3,1
105,144450,PTDeepCBOW,22,4,1,0
106,144450,PTDeepCBOW,33,3,3,1
107,144450,PTDeepCBOW,11,4,3,0
108,144450,PTDeepCBOW,36,3,3,1
109,144450,PTDeepCBOW,10,3,4,0
110,144450,PTDeepCBOW,29,2,3,0
111,144450,PTDeepCBOW,15,2,3,0
112,144450,PTDeepCBOW,22,4,4,1
113,144450,PTDeepCBOW,35,3,3,1
114,144450,PTDeepCBOW,6,2,2,1
115,144450,PTDeepCBOW,25,4,4,1
116,144450,PTDeepCBOW,10,3,4,0
117,144450,PTDeepCBOW,26,1,3,0
118,144450,PTDeepCBOW,15,3,4,0
119,144450,PTDeepCBOW,28,2,3,0
120,144450,PTDeepCBOW,40,3,3,1
121,144450,PTDeepCBOW,24,4,3,0
122,144450,PTDeepCBOW,18,4,1,0
123,144450,PTDeepCBOW,26,4,1,0
124,144450,PTDeepCBOW,6,2,3,0
125,144450,PTDeepCBOW,21,3,3,1
126,144450,PTDeepCBOW,19,3,1,0
127,144450,PTDeepCBOW,34,4,3,0
128,144450,PTDeepCBOW,15,3,3,1
129,144450,PTDeepCBOW,19,3,4,0
130,144450,PTDeepCBOW,12,1,3,0
131,144450,PTDeepCBOW,7,4,3,0
132,144450,PTDeepCBOW,9,4,4,1
133,144450,PTDeepCBOW,9,3,3,1
134,144450,PTDeepCBOW,16,4,4,1
135,144450,PTDeepCBOW,10,3,2,0
136,144450,PTDeepCBOW,17,4,3,0
137,144450,PTDeepCBOW,27,3,1,0
138,144450,PTDeepCBOW,24,3,3,1
139,144450,PTDeepCBOW,19,4,3,0
140,144450,PTDeepCBOW,31,3,3,1
141,144450,PTDeepCBOW,10,1,1,1
142,144450,PTDeepCBOW,29,3,3,1
143,144450,PTDeepCBOW,34,3,1,0
144,144450,PTDeepCBOW,17,3,3,1
145,144450,PTDeepCBOW,15,3,3,1
146,144450,PTDeepCBOW,21,4,1,0
147,144450,PTDeepCBOW,32,4,3,0
148,144450,PTDeepCBOW,20,3,1,0
149,144450,PTDeepCBOW,16,3,3,1
150,144450,PTDeepCBOW,18,3,3,1
151,144450,PTDeepCBOW,25,3,3,1
152,144450,PTDeepCBOW,7,3,1,0
153,144450,PTDeepCBOW,28,1,1,1
154,144450,PTDeepCBOW,33,4,3,0
155,144450,PTDeepCBOW,20,4,3,0
156,144450,PTDeepCBOW,18,4,3,0
157,144450,PTDeepCBOW,17,1,3,0
158,144450,PTDeepCBOW,19,4,4,1
159,144450,PTDeepCBOW,56,3,3,1
160,144450,PTDeepCBOW,20,3,3,1
161,144450,PTDeepCBOW,5,3,3,1
162,144450,PTDeepCBOW,41,3,3,1
163,144450,PTDeepCBOW,39,3,3,1
164,144450,PTDeepCBOW,13,4,3,0
165,144450,PTDeepCBOW,19,3,3,1
166,144450,PTDeepCBOW,28,2,1,0
167,144450,PTDeepCBOW,23,3,3,1
168,144450,PTDeepCBOW,17,3,1,0
169,144450,PTDeepCBOW,17,3,4,0
170,144450,PTDeepCBOW,15,3,3,1
171,144450,PTDeepCBOW,23,2,3,0
172,144450,PTDeepCBOW,19,4,4,1
173,144450,PTDeepCBOW,8,4,4,1
174,144450,PTDeepCBOW,12,4,3,0
175,144450,PTDeepCBOW,14,3,3,1
176,144450,PTDeepCBOW,27,4,3,0
177,144450,PTDeepCBOW,34,2,0,0
178,144450,PTDeepCBOW,13,3,4,0
179,144450,PTDeepCBOW,14,4,3,0
180,144450,PTDeepCBOW,5,4,4,1
181,144450,PTDeepCBOW,15,0,3,0
182,144450,PTDeepCBOW,16,4,4,1
183,144450,PTDeepCBOW,10,3,3,1
184,144450,PTDeepCBOW,27,3,3,1
185,144450,PTDeepCBOW,19,3,1,0
