timestamp,model,example_length,target,prediction,correct
225955,LSTMClassifier,4,2,3,0
225955,LSTMClassifier,21,3,3,1
225955,LSTMClassifier,23,4,3,0
225955,LSTMClassifier,26,2,3,0
225955,LSTMClassifier,9,4,4,1
225955,LSTMClassifier,20,3,1,0
225955,LSTMClassifier,22,3,2,0
225955,LSTMClassifier,7,3,1,0
225955,LSTMClassifier,14,3,4,0
225955,LSTMClassifier,15,4,4,1
225955,LSTMClassifier,13,3,3,1
225955,LSTMClassifier,24,3,3,1
225955,LSTMClassifier,10,4,4,1
225955,LSTMClassifier,12,2,1,0
225955,LSTMClassifier,24,3,3,1
225955,LSTMClassifier,6,2,1,0
225955,LSTMClassifier,8,4,4,1
225955,LSTMClassifier,17,3,3,1
225955,LSTMClassifier,11,4,3,0
225955,LSTMClassifier,9,4,4,1
225955,LSTMClassifier,37,4,4,1
225955,LSTMClassifier,16,2,4,0
225955,LSTMClassifier,23,3,3,1
225955,LSTMClassifier,16,3,3,1
225955,LSTMClassifier,9,3,3,1
225955,LSTMClassifier,14,3,3,1
225955,LSTMClassifier,19,3,3,1
225955,LSTMClassifier,23,1,3,0
225955,LSTMClassifier,22,3,1,0
225955,LSTMClassifier,13,4,1,0
225955,LSTMClassifier,20,4,3,0
225955,LSTMClassifier,6,2,2,1
225955,LSTMClassifier,29,3,1,0
225955,LSTMClassifier,33,3,3,1
225955,LSTMClassifier,17,1,3,0
225955,LSTMClassifier,18,3,3,1
225955,LSTMClassifier,13,3,1,0
225955,LSTMClassifier,42,3,4,0
225955,LSTMClassifier,22,1,3,0
225955,LSTMClassifier,14,2,1,0
225955,LSTMClassifier,20,4,3,0
225955,LSTMClassifier,22,0,1,0
225955,LSTMClassifier,14,4,3,0
225955,LSTMClassifier,16,4,4,1
225955,LSTMClassifier,18,3,3,1
225955,LSTMClassifier,29,2,1,0
225955,LSTMClassifier,13,4,4,1
225955,LSTMClassifier,24,3,3,1
225955,LSTMClassifier,8,4,3,0
225955,LSTMClassifier,38,3,2,0
225955,LSTMClassifier,9,3,3,1
225955,LSTMClassifier,13,3,1,0
225955,LSTMClassifier,20,3,2,0
225955,LSTMClassifier,11,4,3,0
225955,LSTMClassifier,22,3,3,1
225955,LSTMClassifier,24,3,1,0
225955,LSTMClassifier,21,3,3,1
225955,LSTMClassifier,15,2,1,0
225955,LSTMClassifier,12,3,4,0
